record,sepal length in cm,sepal width in cm,petal length in cm,petal width in cm,species
0,5.1,3.5,1.4,0.2,new-species
1,4.9,3.0,1.4,0.2,new-species
2,4.7,3.2,1.3,0.2,new-species
3,4.6,3.1,1.5,0.2,new-species
4,5.0,3.6,1.4,0.2,new-species
5,5.4,3.9,1.7,0.4,new-species
6,4.6,3.4,1.4,0.3,new-species
7,5.0,3.4,1.5,0.2,new-species
8,4.4,2.9,1.4,0.2,new-species
9,4.9,3.1,1.5,0.1,new-species
10,5.4,3.7,1.5,0.2,new-species
11,4.8,3.4,1.6,0.2,new-species
12,4.8,3.0,1.4,0.1,new-species
13,4.3,3.0,1.1,0.1,new-species
14,5.8,4.0,1.2,0.2,new-species
15,5.7,4.4,1.5,0.4,new-species
16,5.4,3.9,1.3,0.4,new-species
17,5.1,3.5,1.4,0.3,new-species
18,5.7,3.8,1.7,0.3,new-species
19,5.1,3.8,1.5,0.3,new-species
20,5.4,3.4,1.7,0.2,new-species
21,5.1,3.7,1.5,0.4,new-species
22,4.6,3.6,1.0,0.2,new-species
23,5.1,3.3,1.7,0.5,new-species
24,4.8,3.4,1.9,0.2,new-species
25,5.0,3.0,1.6,0.2,new-species
26,5.0,3.4,1.6,0.4,new-species
27,5.2,3.5,1.5,0.2,new-species
28,5.2,3.4,1.4,0.2,new-species
29,4.7,3.2,1.6,0.2,new-species
30,4.8,3.1,1.6,0.2,new-species
31,5.4,3.4,1.5,0.4,new-species
32,5.2,4.1,1.5,0.1,new-species
33,5.5,4.2,1.4,0.2,new-species
34,4.9,3.1,1.5,0.1,new-species
35,5.0,3.2,1.2,0.2,new-species
36,5.5,3.5,1.3,0.2,new-species
37,4.9,3.1,1.5,0.1,new-species
38,4.4,3.0,1.3,0.2,new-species
39,5.1,3.4,1.5,0.2,new-species
40,5.0,3.5,1.3,0.3,new-species
41,4.5,2.3,1.3,0.3,new-species
42,4.4,3.2,1.3,0.2,new-species
43,5.0,3.5,1.6,0.6,new-species
44,5.1,3.8,1.9,0.4,new-species
45,4.8,3.0,1.4,0.3,new-species
46,5.1,3.8,1.6,0.2,new-species
47,4.6,3.2,1.4,0.2,new-species
48,5.3,3.7,1.5,0.2,new-species
49,5.0,3.3,1.4,0.2,new-species
50,7.0,3.2,4.7,1.4,new-species
51,6.4,3.2,4.5,1.5,new-species
52,6.9,3.1,4.9,1.5,new-species
53,5.5,2.3,4.0,1.3,new-species
54,6.5,2.8,4.6,1.5,new-species
55,5.7,2.8,4.5,1.3,new-species
56,6.3,3.3,4.7,1.6,new-species
57,4.9,2.4,3.3,1.0,new-species
58,6.6,2.9,4.6,1.3,new-species
59,5.2,2.7,3.9,1.4,new-species
60,5.0,2.0,3.5,1.0,new-species
61,5.9,3.0,4.2,1.5,new-species
62,6.0,2.2,4.0,1.0,new-species
63,6.1,2.9,4.7,1.4,new-species
64,5.6,2.9,3.6,1.3,new-species
65,6.7,3.1,4.4,1.4,new-species
66,5.6,3.0,4.5,1.5,new-species
67,5.8,2.7,4.1,1.0,new-species
68,6.2,2.2,4.5,1.5,new-species
69,5.6,2.5,3.9,1.1,new-species
70,5.9,3.2,4.8,1.8,new-species
71,6.1,2.8,4.0,1.3,new-species
72,6.3,2.5,4.9,1.5,new-species
73,6.1,2.8,4.7,1.2,new-species
74,6.4,2.9,4.3,1.3,new-species
75,6.6,3.0,4.4,1.4,new-species
76,6.8,2.8,4.8,1.4,new-species
77,6.7,3.0,5.0,1.7,new-species
78,6.0,2.9,4.5,1.5,new-species
79,5.7,2.6,3.5,1.0,new-species
80,5.5,2.4,3.8,1.1,new-species
81,5.5,2.4,3.7,1.0,new-species
82,5.8,2.7,3.9,1.2,new-species
83,6.0,2.7,5.1,1.6,new-species
84,5.4,3.0,4.5,1.5,new-species
85,6.0,3.4,4.5,1.6,new-species
86,6.7,3.1,4.7,1.5,new-species
87,6.3,2.3,4.4,1.3,new-species
88,5.6,3.0,4.1,1.3,new-species
89,5.5,2.5,4.0,1.3,new-species
90,5.5,2.6,4.4,1.2,new-species
91,6.1,3.0,4.6,1.4,new-species
92,5.8,2.6,4.0,1.2,new-species
93,5.0,2.3,3.3,1.0,new-species
94,5.6,2.7,4.2,1.3,new-species
95,5.7,3.0,4.2,1.2,new-species
96,5.7,2.9,4.2,1.3,new-species
97,6.2,2.9,4.3,1.3,new-species
98,5.1,2.5,3.0,1.1,new-species
99,5.7,2.8,4.1,1.3,new-species
100,6.3,3.3,6.0,2.5,new-species
101,5.8,2.7,5.1,1.9,new-species
102,7.1,3.0,5.9,2.1,new-species
103,6.3,2.9,5.6,1.8,new-species
104,6.5,3.0,5.8,2.2,new-species
105,7.6,3.0,6.6,2.1,new-species
106,4.9,2.5,4.5,1.7,new-species
107,7.3,2.9,6.3,1.8,new-species
108,6.7,2.5,5.8,1.8,new-species
109,7.2,3.6,6.1,2.5,new-species
110,6.5,3.2,5.1,2.0,new-species
111,6.4,2.7,5.3,1.9,new-species
112,6.8,3.0,5.5,2.1,new-species
113,5.7,2.5,5.0,2.0,new-species
114,5.8,2.8,5.1,2.4,new-species
115,6.4,3.2,5.3,2.3,new-species
116,6.5,3.0,5.5,1.8,new-species
117,7.7,3.8,6.7,2.2,new-species
118,7.7,2.6,6.9,2.3,new-species
119,6.0,2.2,5.0,1.5,new-species
120,6.9,3.2,5.7,2.3,new-species
121,5.6,2.8,4.9,2.0,new-species
122,7.7,2.8,6.7,2.0,new-species
123,6.3,2.7,4.9,1.8,new-species
124,6.7,3.3,5.7,2.1,new-species
125,7.2,3.2,6.0,1.8,new-species
126,6.2,2.8,4.8,1.8,new-species
127,6.1,3.0,4.9,1.8,new-species
128,6.4,2.8,5.6,2.1,new-species
129,7.2,3.0,5.8,1.6,new-species
130,7.4,2.8,6.1,1.9,new-species
131,7.9,3.8,6.4,2.0,new-species
132,6.4,2.8,5.6,2.2,new-species
133,6.3,2.8,5.1,1.5,new-species
134,6.1,2.6,5.6,1.4,new-species
135,7.7,3.0,6.1,2.3,new-species
136,6.3,3.4,5.6,2.4,new-species
137,6.4,3.1,5.5,1.8,new-species
138,6.0,3.0,4.8,1.8,new-species
139,6.9,3.1,5.4,2.1,new-species
140,6.7,3.1,5.6,2.4,new-species
141,6.9,3.1,5.1,2.3,new-species
142,5.8,2.7,5.1,1.9,new-species
143,6.8,3.2,5.9,2.3,new-species
144,6.7,3.3,5.7,2.5,new-species
145,6.7,3.0,5.2,2.3,new-species
146,6.3,2.5,5.0,1.9,new-species
147,6.5,3.0,5.2,2.0,new-species
148,6.2,3.4,5.4,2.3,new-species
149,5.9,3.0,5.1,1.8,new-species
